Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
2017-01-01,16009,50761,206624,1237,33
2017-01-02,8921,21545,206675,142,15
2017-01-03,14198,25879,206728,42,15
2017-01-04,34039,69966,206778,475,29
2017-01-05,28393,52446,206845,214,17
2017-01-06,24177,48964,206879,157,17
2017-01-07,4425,23556,206892,21,4
2017-01-08,6417,22756,206907,27,2
2017-01-09,15856,35209,206933,30,2
2017-01-10,23232,46216,206955,67,12
2017-01-11,32419,63099,206981,208,37
2017-01-12,39783,84763,207021,479,30
2017-01-13,33611,75847,207059,373,43
2017-01-14,13819,43090,207087,252,33
2017-01-15,17384,50738,207120,476,19
2017-01-16,24110,51664,207163,448,30
2017-01-17,18646,40697,207198,63,15
2017-01-18,30857,57978,207224,146,17
2017-01-19,36561,72077,207262,391,27
2017-01-20,26752,56479,207288,184,19
2017-01-21,26610,64662,207336,957,31
2017-01-22,20523,49368,207368,520,25
2017-01-23,15822,37687,207399,54,20
2017-01-24,13171,35619,207414,28,5
2017-01-25,36931,71418,207453,301,29
2017-01-26,33002,63750,207501,223,28
2017-01-27,32394,70189,207540,231,23
2017-01-28,21302,53955,207567,402,25
2017-01-29,22527,62854,207620,585,26
2017-01-30,29616,59975,207673,163,32
2017-01-31,25169,48684,207706,62,19
2017-02-01,35221,77639,207749,194,22
2017-02-02,34517,70727,207793,216,27
2017-02-03,29632,64701,207825,181,32
2017-02-04,19204,45120,207861,413,14
2017-02-05,20059,50532,207890,337,19
2017-02-06,33415,72513,207930,305,49
2017-02-07,23053,57760,207962,54,17
2017-02-08,40428,90430,208011,483,32
2017-02-09,0,0,208018,0,0
2017-02-10,1997,8344,208030,15,1
2017-02-11,8959,26272,208037,170,13
2017-02-12,5801,26468,208054,26,5
2017-02-13,23857,58710,208076,72,18
2017-02-14,29668,78530,208099,154,16
2017-02-15,32052,72383,208137,170,30
2017-02-16,29120,63551,208163,104,16
2017-02-17,28735,67530,208200,247,37
2017-02-18,30571,99126,208258,2078,114
2017-02-19,36963,125166,208347,3746,122
2017-02-20,32292,91412,208436,1512,75
2017-02-21,32643,84767,208516,308,48
2017-02-22,38119,90651,208594,439,36
2017-02-23,42434,98554,208658,828,88
2017-02-24,47031,117155,208767,1534,119
2017-02-25,33345,104309,208886,2035,77
2017-02-26,24713,75196,208966,849,33
2017-02-27,35984,80194,209035,388,42
2017-02-28,41835,92642,209119,504,60
2017-03-01,40592,85944,209229,393,51
2017-03-02,35739,73839,209310,320,44
2017-03-03,31105,68702,209370,292,39
2017-03-04,15646,43108,209404,252,14
2017-03-05,15919,50924,209451,312,22
2017-03-06,32467,72776,209536,321,39
2017-03-07,29683,63654,209587,181,29
2017-03-08,43470,101573,209656,694,55
2017-03-09,45251,99450,209728,764,34
2017-03-10,18412,41971,209758,95,15
2017-03-11,15185,48379,209781,183,27
2017-03-12,13442,38114,209799,167,9
2017-03-13,27417,58768,209827,205,14
2017-03-14,0,0,209843,0,0
2017-03-15,0,0,209859,0,0
2017-03-16,0,0,209870,0,0
2017-03-17,7098,25393,209888,151,15
2017-03-18,4106,17446,209910,93,6
2017-03-19,10550,33344,209943,339,21
2017-03-20,27378,60363,210002,288,21
2017-03-21,36824,78104,210073,479,47
2017-03-22,26927,55713,210121,140,15
2017-03-23,29885,74345,210160,291,25
2017-03-24,34019,82681,210199,485,39
2017-03-25,29647,86293,210267,1721,60
2017-03-26,19893,55139,210318,546,30
2017-03-27,26301,59614,210388,318,40
2017-03-28,21590,46003,210448,91,20
2017-03-29,42430,91525,210559,830,97
2017-03-30,39746,91041,210623,669,61
2017-03-31,6946,23462,210670,20,5
2017-04-01,23849,67299,210739,767,43
2017-04-02,39779,130087,210915,3639,58
2017-04-03,43484,104217,211075,970,68
2017-04-04,29990,63091,211171,183,23
2017-04-05,47635,108281,211310,1192,59
2017-04-06,18020,44411,211362,67,12
2017-04-07,35779,81358,211440,456,43
2017-04-08,35936,108886,211589,2719,83
2017-04-09,43895,137240,211806,4390,114
2017-04-10,50422,124356,212050,2164,139
2017-04-11,57309,150222,212298,2699,135
2017-04-12,51188,113959,212484,1493,108
2017-04-13,52915,131228,212648,2388,129
2017-04-14,52230,149382,212812,3451,273
2017-04-15,42531,134526,212950,3981,235
2017-04-16,48137,157912,213172,6143,361
2017-04-17,53247,127619,213385,2019,234
2017-04-18,53809,126129,213580,1624,194
2017-04-19,45788,97587,213703,738,55
2017-04-20,44260,108427,213819,1065,172
2017-04-21,39868,92348,213913,1194,129
2017-04-22,34596,101444,214028,5173,102
2017-04-23,49106,142563,214278,4541,420
2017-04-24,48692,103241,214462,1143,123
2017-04-25,20332,47829,214552,201,36
2017-04-26,37727,81859,214654,595,109
2017-04-27,52035,122394,214793,1412,266
2017-04-28,62199,163665,214965,2963,458
2017-04-29,57701,180290,215219,5699,562
2017-04-30,42928,125305,215455,2921,340
2017-05-01,56218,136675,215724,1813,311
2017-05-02,61205,142585,216017,1827,309
2017-05-03,59251,141936,216239,1537,247
2017-05-04,57428,144583,216436,1626,239
2017-05-05,24009,58278,216535,355,52
2017-05-06,46616,127879,216768,3349,363
2017-05-07,34293,90625,216928,1921,196
2017-05-08,51553,114260,217147,1230,253
2017-05-09,56461,118257,217341,1179,199
2017-05-10,58452,136080,217512,1362,225
2017-05-11,57208,135699,217673,1313,205
2017-05-12,56671,132477,217840,1784,189
2017-05-13,5704,28193,217905,117,0
2017-05-14,38729,114819,218120,2664,222
2017-05-15,54715,129870,218356,1279,185
2017-05-16,64504,157411,218690,1850,283
2017-05-17,65791,153500,219023,1864,241
2017-05-18,63753,149837,219304,1929,270
2017-05-19,62143,145832,219564,2310,275
2017-05-20,47858,135405,219776,3486,251
2017-05-21,54873,160019,220097,4903,287
2017-05-22,24627,61049,220269,218,22
2017-05-23,60024,139680,220513,1579,224
2017-05-24,60621,135482,220735,1558,153
2017-05-25,17494,50743,220840,143,27
2017-05-26,53763,133402,221049,2224,306
2017-05-27,46533,145924,221271,4590,511
2017-05-28,46724,151063,221515,5229,374
2017-05-29,26321,75825,221745,1149,77
2017-05-30,50192,114629,222057,962,204
2017-05-31,59494,142097,222764,1596,197
2017-06-01,67404,163063,222977,1957,289
2017-06-02,66905,157299,223162,2315,357
2017-06-03,56263,155712,223356,4627,356
2017-06-04,40138,100571,223520,2270,103
2017-06-05,55882,123795,223719,1286,204
2017-06-06,41268,86679,223834,523,89
2017-06-07,64452,149853,223969,1536,258
2017-06-08,62652,132716,224131,1631,266
2017-06-09,66504,156787,224289,2513,313
2017-06-10,57086,150903,224455,4764,296
2017-06-11,51427,140711,224654,3941,179
2017-06-12,57870,133564,224889,1561,201
2017-06-13,60920,129444,225078,1407,179
2017-06-14,60510,137988,225231,1573,218
2017-06-15,64761,144513,225430,1885,227
2017-06-16,56401,128201,225556,1507,177
2017-06-17,34899,83755,225683,2243,209
2017-06-18,49469,138414,225864,3730,295
2017-06-19,38308,88057,226025,878,158
2017-06-20,64670,146794,226220,1781,215
2017-06-21,67215,154525,226394,1666,258
2017-06-22,66304,158453,226589,1818,260
2017-06-23,55321,129797,226695,1585,205
2017-06-24,52150,141282,226849,4277,314
2017-06-25,54645,158625,227015,4527,256
2017-06-26,62661,145321,227211,2024,297
2017-06-27,64762,151112,227418,1697,229
2017-06-28,67740,159263,227679,1893,208
2017-06-29,64260,146419,227855,1703,210
2017-06-30,58660,132583,228047,2024,293
2017-07-01,36737,107126,228157,2828,372
2017-07-02,43035,128397,228306,4314,458
